player,score,platform,style,proof level,vid pb,notes,proof link,time,editor
DanV,2409900,Console,Roll,Video,2409900,,,1686185550064,Noah Dengler
Radmir,1127960,Console,Tap,Video,,,,1601022561416,Hydrantdude
Radmir,1145280,Console,Tap,Video,,,,1601228026606,Hydrantdude
Radmir,1229240,Console,Tap,Video,,,,1605124080025,Petr Verner
Radmir,1230920,Console,Tap,Video,1230920,,,1608482111650,Petr Verner
Nagisa,1101940,Emulator,Tap,Video,,,,1600437275147,Hydrantdude
Remmedy,1203582,Emulator,DAS,Video,1203582,History Viewer. skipped 1.1?,,1609460546074,Hydrantdude
Marc Maier,1118460,Console,Tap,Image,,,,1597434424910,Hydrantdude
Marc Maier,1174060,Console,Tap,Video,,19 start,,1604600972280,Hydrantdude
Marc Maier,1272350,Console,Tap,Video,1272350,,,1633834273977,Cool Iceage
OscarGodinez,1283480,Console,Roll,Image,,,,1678400093927,Samual Finch
NickFury,1181640,Emulator,Tap,Image,1073498,,,1656110842738,Hydrantdude
Tripledot,1151670,Emulator,Tap,Image,1020300,,,1618583740602,Cool Iceage
Hallucinati,1181907,Emulator,DAS+Tap,Image,,pb go brrr. goated,,1647710531888,NerdTheBox
Hallucinati,1197240,Emulator,DAS+Tap,Claim,1162986,,,1648837108355,NerdTheBox
EvalEvan66,1173520,Emulator,DAS,Image,,. 1.0X video PB,,1595883132354,Hydrantdude
EvalEvan66,1174240,Emulator,DAS,Partial Video,1167000,,,1642455685693,NerdTheBox
MylesTheGreat,1108760,Console,Tap,Video,,,,1597886836699,Hydrantdude
MylesTheGreat,1151160,Console,DAS,Video,,,,1600549228826,Hydrantdude
MylesTheGreat,1196260,Console,Tap,Video,,,,1601068653136,Hydrantdude
MylesTheGreat,1215968,Console,DAS,Image,,. 1.196 video PB,,1618776762787,Cool Iceage
MylesTheGreat,1251620,Console,Tap,Image,,. 1.203 video PB,,1624224879696,Hydrantdude
MylesTheGreat,1261460,Console,Roll,Video,,,,1632742173919,NerdTheBox
MylesTheGreat,1320660,Console,Roll,Image,,,,1634598772034,NerdTheBox
MylesTheGreat,1342180,Console,Roll,Video,,. 3 1.3s,,1634734854400,NerdTheBox
